totalTimeinminsoFar, realtimeSinceStartup, Total Time Stopped, Total Distance Travelled, Avg Speed, Speed Limit, Total Serious Collision Count,Total Vehicle-Vehicle Collision Count,Total Non-Vehicle Collision Count, Non-Collision Destroyed, No. Of Stops Passed Through, Avg Time in speed0-5mph,Avg Time in speed5-10mph,Avg Time in speed10-15mph,Avg Time in speed15-20mph, Avg Time in speed20-25mph, Avg Time in speed25-30mph, Avg Time in speed30-35mph
3.287667,207.1157, 2.527141,263.6274, 0.01116604, 31.71545, 0,0,0,1,0,2.558241, 0.04515469, 0.05362612,0.06255855, 0.4140417, 0.1541224, 0
3.434,215.9002, 1.734414,669.4163, 0.02943577, 27.43178, 0,2,0,1,0,1.763126, 0.03273529, 0.03795467,0.05167411, 1.046189, 0.4836645, 0.01894306
3.444667,216.545, 2.738791,236.5203, 0.009389327, 28.65904, 0,0,0,1,0,2.775205, 0.04740958, 0.05709339,0.06683441, 0.4441774, 0.05417383, 0
3.917667,244.917, 1.288077,1001.298, 0.04129837, 32.51987, 0,0,0,1,0,1.318675, 0.05002414, 0.06390103,0.08185049, 2.062777, 0.3406094, 0
3.941,246.3169, 1.258848,1043.106, 0.04415827, 30.28036, 1,0,2,0,0,1.282936, 0.03574276, 0.04089494,0.05375249, 2.00193, 0.5259339, 0
4.183333,260.8607, 3.512599,206.5464, 0.006815097, 27.71234, 0,0,0,1,0,3.564083, 0.06792402, 0.08094906,0.0693319, 0.333133, 0.06817318, 0
4.980667,308.6993, 1.67448,1239.839, 0.04173645, 26.47172, 0,0,0,1,1,1.732048, 0.08137574, 0.1048727,0.1395236, 2.589402, 0.3336911, 0
5.228333,323.5714, 2.69579,976.4427, 0.03015082, 30.38519, 0,0,1,1,0,2.728885, 0.04476495, 0.05489324,0.06986885, 1.809232, 0.5210186, 0
5.318,328.9411, 2.474851,1074.239, 0.0349769, 32.07833, 1,0,2,0,0,2.524859, 0.07528967, 0.08210358,0.07870522, 2.085951, 0.4713851, 0
6.273666,386.286, 3.483852,1058.271, 0.02811016, 30.15655, 0,0,0,1,0,3.527251, 0.05868154, 0.07193251,0.08401328, 2.104726, 0.4273356, 0
7.311,448.5185, 3.558487,1437.461, 0.03566964, 32.41729, 0,0,3,1,0,3.608623, 0.0665447, 0.07930735,0.0887928, 2.886783, 0.5811866, 0
7.682333,470.7972, 2.053139,2091.773, 0.0484633, 28.57105, 0,0,0,1,1,2.158431, 0.1485121, 0.2017132,0.3332582, 4.368101, 0.4725443, 0
8.318,508.9373, 4.445136,1442.08, 0.03265305, 26.48453, 1,0,3,0,0,4.544744, 0.1236787, 0.1424908,0.1522949, 2.70364, 0.6513992, 0
8.318,508.9388, 3.032914,1944.22, 0.04206071, 28.21098, 1,0,1,0,0,3.155075, 0.1683788, 0.2337822,0.3381543, 3.761254, 0.661574, 0
8.515333,520.7795, 2.64923,2212.97, 0.04760894, 31.96137, 0,0,0,1,0,2.728127, 0.1238803, 0.2020205,0.3015662, 4.171091, 0.9887167, 0
8.737,534.0826, 2.533786,2379.52, 0.04992999, 29.71902, 0,0,0,1,0,2.614603, 0.1115865, 0.1319868,0.2050635, 4.63385, 1.040229, 0
9.973332,608.2633, 3.258589,2424.271, 0.04427273, 27.92565, 0,0,0,1,0,3.418613, 0.2324003, 0.3312721,0.6642622, 4.484212, 0.8428615, 0
10.01671,610.8613, 3.650192,2352.231, 0.04309164, 28.95818, 0,0,0,0,0,3.793073, 0.2071388, 0.2513406,0.335299, 4.469703, 0.9605087, 0
10.01671,610.8758, 2.928206,2713.055, 0.04992508, 30.55598, 0,0,0,0,1,3.033154, 0.1493405, 0.1830789,0.2567135, 4.94361, 1.451153, 0
10.01671,610.8762, 3.141099,2472.315, 0.04563696, 27.79835, 0,0,0,0,2,3.314477, 0.2521954, 0.3311602,0.5262247, 5.259871, 0.3331215, 0
10.01671,610.8763, 3.938576,2276.743, 0.04168327, 28.91972, 0,0,0,0,2,4.054517, 0.1611612, 0.2031949,0.3063886, 4.419866, 0.8719267, 0
10.01671,610.8765, 3.367346,2445.413, 0.04483959, 30.97954, 0,0,0,0,0,3.531889, 0.2204539, 0.2796207,0.4427806, 4.579526, 0.9627835, 0
10.01671,610.8766, 3.61865,2292.806, 0.0414056, 28.91332, 0,0,0,0,0,3.784998, 0.2391623, 0.3124139,0.5408986, 4.659022, 0.4805563, 0
10.01671,610.8767, 4.98,1826.774, 0.03337355, 27.85291, 0,0,0,0,0,5.114045, 0.1936648, 0.2361351,0.3219805, 3.430728, 0.7204922, 0
10.01671,610.8769, 2.644568,2833.027, 0.05175187, 27.76008, 0,0,0,0,0,2.7254, 0.1178804, 0.1473292,0.2019466, 5.666238, 1.158253, 0
10.01671,610.877, 3.53298,2254.659, 0.04121383, 27.29724, 0,0,0,0,0,3.737032, 0.2954749, 0.4000835,0.7772455, 4.413306, 0.3939057, 0
10.01671,610.8771, 2.981706,2522.4, 0.04672455, 28.78224, 0,0,0,0,1,3.146645, 0.2361998, 0.3414123,0.7849136, 4.822628, 0.6852516, 0
10.01671,610.8773, 3.77954,2283.525, 0.04224675, 25.93202, 0,0,0,0,2,3.926122, 0.2139335, 0.2597175,0.417442, 4.480587, 0.7192543, 0
10.01671,610.8774, 3.002875,2635.768, 0.04821373, 27.71804, 0,0,0,0,0,3.111575, 0.1681305, 0.243725,0.3509248, 4.924993, 1.217712, 0
10.01671,610.8776, 3.623468,2382.034, 0.04389006, 28.51639, 0,0,0,0,2,3.734915, 0.1664247, 0.2288315,0.3550784, 4.639709, 0.8921, 0
10.01671,610.8777, 2.805575,2748.433, 0.05040827, 31.59101, 0,0,0,0,0,2.909452, 0.1494819, 0.1792774,0.2517144, 5.389225, 1.137898, 0
10.01671,610.8778, 3.52733,2456.488, 0.04550321, 28.08606, 0,0,0,0,0,3.611056, 0.1226058, 0.1633018,0.2568049, 5.019992, 0.8432741, 0
10.01671,610.8779, 2.609614,2850.661, 0.05245997, 23.69673, 0,0,0,0,0,2.705177, 0.1339255, 0.1615625,0.2246037, 5.335033, 1.456746, 0
10.01671,610.8781, 2.205586,2889.105, 0.05354864, 27.44335, 0,0,0,0,1,2.365447, 0.2290496, 0.3095736,0.5074211, 5.876163, 0.7294024, 0
10.01671,610.8782, 2.566765,2868.391, 0.0521278, 28.61258, 0,0,0,0,0,2.672546, 0.1360548, 0.1754894,0.2829184, 5.225749, 1.524288, 0
10.01671,610.8783, 4.35671,2094.768, 0.03859102, 30.18118, 0,0,0,0,0,4.472414, 0.169484, 0.211092,0.3246303, 4.104665, 0.7347584, 0
10.01671,610.8784, 3.435314,2453.81, 0.0452423, 28.54391, 0,0,0,0,0,3.558855, 0.1814495, 0.2258237,0.3507156, 4.674898, 1.025322, 0
10.01671,610.8785, 3.518553,2421.241, 0.04347283, 25.57692, 0,0,0,0,3,3.623304, 0.1468962, 0.2288285,0.4568496, 4.606562, 0.9546058, 0
10.01671,610.8787, 3.016312,2491.576, 0.04553194, 32.95109, 0,0,0,0,1,3.195322, 0.2572964, 0.3473332,0.7357638, 5.086225, 0.3951129, 0
10.01671,610.8788, 3.073217,2681.034, 0.04912373, 26.82843, 0,0,0,0,1,3.160996, 0.1347672, 0.1664959,0.2480715, 4.590123, 1.716585, 0
10.01671,610.879, 4.428927,2067.673, 0.03797575, 28.1017, 0,0,0,0,1,4.544459, 0.1741009, 0.2235663,0.3208866, 3.784428, 0.9696061, 0
10.01671,610.8791, 3.322363,2497.258, 0.0459804, 26.27508, 0,0,0,0,0,3.466867, 0.2094114, 0.2532172,0.3442088, 4.487121, 1.256243, 0
